,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
10,1,0.459016393442623,0,0,0,0.7464788732394366,False,0,1,1,2,0,0,2,2,0,0,2,0,0.4287378640776699,0.28176205861989384,0.0,0.0,0.0,1,True,False,False,False,False,True,False,True,False
11,0,0.09836065573770492,1,2,2,1.0,False,1,2,1,2,2,2,2,2,2,2,2,1,0.9848543689320387,0.9736845141933995,0.0,0.0,0.3233690163603313,1,False,False,True,False,False,True,False,True,False
12,0,0.639344262295082,1,0,0,0.056338028169014086,False,1,0,1,0,0,0,0,0,0,0,2,1,0.6132038834951455,0.03839141472420956,0.0,0.0,0.026159137323548555,1,False,False,True,True,False,False,True,False,False
13,0,0.21311475409836067,0,0,0,1.0,True,1,2,1,2,2,2,0,2,0,0,2,1,0.8644660194174756,0.8357315947380568,0.0,0.0,0.045445364572813576,1,False,False,True,False,False,True,True,False,False
14,0,0.3278688524590164,0,0,0,0.7746478873239437,False,0,1,1,2,2,2,2,0,0,0,2,0,0.4275728155339805,0.29324948072928686,0.0,0.0,0.0,1,False,True,False,False,False,True,True,False,False
15,0,0.639344262295082,1,2,9,0.9859154929577465,True,1,2,1,0,2,2,0,0,2,2,2,1,0.8213592233009708,0.7882067851373182,0.0,0.0,0.542948674790727,1,False,False,True,False,False,True,False,True,False
16,0,0.5409836065573771,1,1,0,0.46478873239436624,False,0,1,1,2,0,2,2,2,2,2,2,0,0.5533980582524272,0.2278329102238634,0.0,0.0,0.0,1,False,True,False,False,True,False,False,True,False
17,0,0.8688524590163934,0,0,0,0.0,True,1,2,1,0,0,0,0,0,0,0,2,1,0.6376699029126213,0.0061504731133164075,0.0,0.0,0.002179694337844207,1,False,False,True,False,True,False,True,False,False
18,1,0.9836065573770493,0,0,0,0.619718309859155,False,1,0,1,2,0,2,0,0,2,0,2,0,0.5646601941747573,0.319951534733441,0.0,0.0,0.13469501110886692,0,False,True,False,False,True,False,False,True,False
19,1,0.7868852459016394,0,0,0,0.0,False,0,1,1,0,0,0,0,0,0,0,2,1,0.272621359223301,0.000726978998384491,0.0,0.0,0.0,0,True,False,False,True,False,False,True,False,False
20,0,0.9836065573770493,1,0,0,0.6901408450704226,False,1,2,0,1,1,1,1,1,1,1,1,0,0.27339805825242713,0.14856912070159242,0.0,0.0,0.44084808905047246,1,False,False,False,False,True,False,True,False,False
21,0,0.11475409836065575,1,0,1,0.16901408450704225,False,1,2,1,0,2,2,0,2,0,0,2,0,0.8085436893203882,0.1381029309946919,0.0,0.0,0.15885679660674612,0,False,False,True,True,False,False,True,False,False
22,0,0.18032786885245905,1,2,1,0.3098591549295775,True,1,2,1,0,0,0,0,2,0,0,2,1,0.7281553398058251,0.21130279252250175,0.0,0.0,0.2252434973854889,1,False,False,True,True,False,False,True,False,False
23,0,0.04918032786885246,0,0,0,0.02816901408450704,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23184466019417477,0.004431110085391184,0.0,0.0,0.0026257321753181176,1,False,False,False,True,False,False,False,True,False
24,0,0.24590163934426235,1,0,0,0.04225352112676056,True,1,0,0,1,1,1,1,1,1,1,1,0,0.23572815533980582,0.006640895453496423,0.0,0.0,0.013947799546668463,0,False,False,False,True,False,False,False,True,False
25,0,0.29508196721311475,1,1,1,0.0,False,0,1,1,2,0,0,0,0,0,0,2,0,0.3145631067961165,0.001350103854142626,0.0,0.0,0.0,0,False,True,False,True,False,False,True,False,False
26,0,0.29508196721311475,1,3,10,0.7605633802816901,False,1,0,1,0,2,2,2,2,2,2,0,1,0.8831067961165048,0.6505827371336257,0.0,0.13333333333333333,0.5406315222513971,1,False,False,True,False,True,False,True,False,False
27,1,0.3770491803278688,1,3,3,0.7464788732394366,False,1,0,0,1,1,1,1,1,1,1,1,0,0.2361165048543689,0.12367874451880914,0.0,0.0,0.29842456069480916,1,False,False,False,False,False,True,False,True,False
28,1,0.7377049180327869,0,0,0,0.35211267605633806,True,1,0,0,1,1,1,1,1,1,1,1,1,0.22990291262135923,0.05227902146318948,0.42679252862020484,0.0,0.27497250835970294,1,False,False,False,False,True,False,True,False,False
29,0,0.459016393442623,1,3,5,0.9577464788732395,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23067961165048542,0.15902377105931229,0.0,0.0,0.7430906214232815,1,False,False,False,False,False,True,True,False,False
30,1,0.0655737704918033,1,3,1,0.5070422535211268,True,1,0,1,0,0,0,0,2,2,2,2,0,0.7860194174757281,0.3725767366720517,0.0,0.0,0.4464221593841873,1,False,False,True,False,True,False,False,True,False
31,0,0.47540983606557374,1,0,5,0.676056338028169,True,1,0,0,1,1,1,1,1,1,1,1,0,0.236504854368932,0.10178859912300947,0.0,0.0,0.6815177629659553,1,False,False,False,False,True,False,True,False,False
32,1,0.14754098360655737,1,0,9,0.9154929577464789,False,1,2,1,2,2,2,2,2,2,2,2,0,0.062135922330097085,0.9143030233094853,0.0,0.0,0.8103918400323168,1,False,False,True,False,True,False,True,False,False
33,0,0.14754098360655737,0,0,0,0.9295774647887325,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23728155339805823,0.15285021924763445,0.6131753364129343,0.0,0.4345474539374762,1,False,False,False,False,True,False,True,False,False
34,1,0.2295081967213115,1,1,4,0.26760563380281693,False,0,1,1,2,0,2,2,0,0,0,2,1,0.38368932038834946,0.09307639049157627,0.0,0.0,0.0,1,True,False,False,False,False,True,False,True,False
35,0,0.19672131147540983,0,3,0,0.5915492957746479,False,1,2,0,1,1,1,1,1,1,1,1,1,0.272621359223301,0.12131894761135474,0.0,0.0,0.3695998563702058,1,False,False,False,False,False,True,True,False,False
36,0,0.29508196721311475,1,0,2,0.7605633802816901,True,1,2,1,2,0,0,0,2,0,0,2,1,0.7751456310679611,0.5701361643203324,0.0,0.0,0.07837922754101304,1,False,False,True,True,False,False,True,False,False
37,0,0.6721311475409837,1,0,4,0.8169014084507042,True,1,2,1,2,2,0,0,2,0,0,2,1,0.8135922330097086,0.6437629817678282,0.0,0.0,0.27127235799726207,1,False,False,True,True,False,False,True,False,False
38,0,0.47540983606557374,1,3,3,0.15492957746478872,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23533980582524272,0.02373644126471267,0.0,0.0,0.06490271325658117,1,False,False,False,False,False,True,True,False,False
39,1,0.6721311475409837,1,3,7,0.36619718309859156,True,1,2,1,0,0,0,0,0,0,0,2,1,0.6660194174757281,0.22042464804985,0.0,0.0,0.19132498485154517,1,False,False,True,True,False,False,True,False,False
40,1,0.8196721311475411,0,0,0,0.014084507042253521,False,1,0,1,2,0,0,0,0,0,0,2,1,0.4601941747572815,0.008342949457650586,0.0,0.0,0.02468076034022308,0,False,True,False,True,False,False,True,False,False
41,0,0.016393442622950838,0,0,0,0.36619718309859156,True,1,0,1,0,2,2,2,2,2,2,2,0,0.6850485436893203,0.23772790214631895,0.0,0.0,0.3704554635427187,1,False,True,False,False,True,False,False,True,False
42,1,0.19672131147540983,1,3,1,0.33802816901408456,False,1,2,0,1,1,1,1,1,1,1,1,0,0.27572815533980577,0.0705977382875606,0.8921470174733882,0.0,0.1661420812854867,1,False,False,False,False,False,True,False,True,False
43,1,0.4426229508196722,1,0,5,0.33802816901408456,False,1,0,1,2,2,2,0,0,0,0,2,1,0.5561165048543689,0.18372951765520426,0.9017875075316327,0.0,0.04523496936645796,1,True,False,False,False,True,False,True,False,False
44,1,0.6229508196721312,0,1,0,0.3943661971830986,False,0,1,1,2,2,2,2,0,0,0,2,1,0.4271844660194175,0.14120124624971153,0.24623418357099816,0.0,0.0,1,False,True,False,True,False,False,False,True,False
45,1,0.0,1,0,5,1.0,False,1,2,1,0,2,2,2,2,2,2,2,1,0.7390291262135922,0.7266789753057927,0.0,0.0,0.65360533225611,1,False,True,False,False,False,True,True,False,False
46,0,0.7377049180327869,0,0,0,0.18309859154929578,False,1,0,1,0,2,0,0,0,0,0,2,0,0.4772815533980582,0.08181975536579737,0.0,0.0,0.09441414753472925,1,True,False,False,False,True,False,False,True,False
47,0,0.3114754098360656,0,0,0,0.47887323943661975,True,1,0,1,0,0,2,2,2,2,2,2,1,0.8485436893203883,0.4054004154165705,0.0,0.0,0.3575876927220091,1,False,False,True,False,True,False,True,False,False
48,1,0.5737704918032788,0,0,0,0.0,True,1,0,1,0,0,0,0,0,0,0,2,1,0.421747572815534,0.002942534041080083,0.0,0.0,0.012048632150631748,1,False,True,False,True,False,False,False,True,False
49,1,0.5081967213114754,0,0,0,0.3943661971830986,False,1,0,1,0,0,0,2,2,2,2,0,1,0.8093203883495145,0.2987306715901223,0.0,0.13333333333333333,0.016677326690455355,1,False,False,True,True,False,False,True,False,False
50,1,0.09836065573770492,0,0,0,0.8873239436619719,False,1,2,1,2,2,2,2,2,0,0,0,0,0.7087378640776698,0.6402896376644357,0.0,0.26666666666666666,0.09856594627348012,1,False,True,False,False,True,False,True,False,False
51,0,0.2622950819672132,1,3,1,0.5352112676056339,False,1,2,1,0,0,0,2,2,2,2,2,1,0.8539805825242718,0.4325640433879529,0.0,0.0,0.2667306268093988,1,False,False,True,True,False,False,False,True,False
52,0,0.8688524590163934,0,0,0,0.5492957746478874,False,1,0,1,0,0,0,0,2,2,0,2,1,0.7887378640776698,0.4217401338564505,0.0,0.0,0.4952983684553065,1,False,False,True,False,False,True,True,False,False
53,1,0.5245901639344263,0,0,0,0.5492957746478874,False,1,2,1,0,2,2,0,2,2,2,2,1,0.8893203883495145,0.46365681975536577,0.0,0.0,0.42292241746897374,0,False,False,True,True,False,False,False,True,False
54,0,0.9672131147540984,0,1,0,0.14084507042253522,True,1,0,1,0,2,0,0,2,2,0,0,1,0.8155339805825242,0.1271059312254789,0.0,0.8,0.035764379811037056,0,False,False,True,True,False,False,True,False,False
55,0,0.18032786885245905,1,0,10,0.07042253521126761,True,1,2,1,0,0,0,0,0,0,0,2,0,0.46873786407766993,0.03412762520193861,0.0,0.0,0.07180367602504546,1,True,False,False,True,False,False,True,False,False
56,1,0.639344262295082,0,0,0,0.4084507042253521,False,1,2,1,2,0,0,0,0,2,2,2,1,0.578640776699029,0.21574544195707362,0.0,0.0,0.022217733791153306,1,False,True,False,True,False,False,False,False,True
57,1,0.11475409836065575,0,0,0,0.36619718309859156,False,1,0,0,1,1,1,1,1,1,1,1,1,0.22834951456310676,0.05896607431340872,0.0,0.0,0.15648353867905476,1,False,False,False,True,False,False,True,False,False
58,1,0.7704918032786886,1,0,3,0.971830985915493,False,1,2,1,0,2,2,0,2,2,0,2,1,0.8916504854368931,0.8412358642972536,0.1227154046997389,0.0,0.775460625238448,1,False,False,True,False,True,False,True,False,False
59,0,0.016393442622950838,1,0,10,0.7887323943661972,True,1,2,1,0,2,2,2,2,2,2,2,1,0.927378640776699,0.7193514885760443,0.0,0.0,0.12808018582104627,1,False,False,True,False,True,False,True,False,False
60,1,0.6885245901639344,1,0,10,0.8028169014084507,False,1,0,1,0,0,2,0,0,0,0,2,0,0.4683495145631068,0.3299965381952458,0.2054629443663386,0.0,0.29889023541820964,1,False,True,False,False,True,False,False,True,False
61,1,0.08196721311475408,0,0,0,0.2112676056338028,False,1,2,1,0,2,2,0,0,2,2,2,1,0.6322330097087379,0.1376990537733672,0.0,0.0,0.1153975627819296,1,False,True,False,True,False,False,True,False,False
62,0,0.5901639344262295,1,0,3,0.9577464788732395,True,1,2,1,2,2,2,2,2,2,2,2,1,0.978640776699029,0.9420782367874453,0.0,0.0,0.7456069480912948,1,False,False,True,False,False,True,True,False,False
63,1,0.21311475409836067,0,0,0,0.0,True,1,0,0,1,1,1,1,1,1,1,1,1,0.23184466019417477,0.00012116316639741503,0.0,0.0,0.008912340941223996,0,False,False,False,True,False,False,True,False,False
64,1,0.6557377049180328,0,0,0,0.0,False,1,2,1,0,0,2,0,2,2,2,2,1,0.8524271844660194,0.009341103161781675,0.0,0.0,0.011420251800982969,0,False,False,True,True,False,False,True,False,False
65,1,0.8524590163934426,1,1,9,0.4366197183098592,True,1,0,1,0,2,0,0,2,2,2,2,1,0.807378640776699,0.32802330948534497,0.0,0.0,0.2860028277115734,1,False,False,True,False,True,False,False,False,True
66,1,0.4918032786885246,1,2,8,0.2112676056338028,True,1,2,1,0,0,2,0,2,0,0,2,1,0.7829126213592232,0.1642510962381722,0.0,0.0,0.21863147736708635,1,False,False,True,True,False,False,True,False,False
67,1,0.6885245901639344,1,0,1,0.676056338028169,True,1,2,1,2,0,2,2,2,2,2,2,0,0.7328155339805824,0.46625317332102467,0.0,0.0,0.5436471868758276,0,True,False,False,False,True,False,True,False,False
68,0,0.34426229508196726,1,0,2,0.9859154929577465,True,0,1,1,0,2,2,2,2,2,2,2,0,0.5300970873786407,0.4762404800369259,0.0,0.0,0.0,1,True,False,False,False,False,True,True,False,False
69,0,0.3278688524590164,0,0,0,0.4507042253521127,False,1,2,1,0,2,2,0,2,2,2,2,0,0.913009708737864,0.41849757673667204,0.0,0.0,0.4599996633676699,1,False,False,True,True,False,False,True,False,False
70,0,0.03278688524590162,1,0,9,0.1267605633802817,True,1,0,0,1,1,1,1,1,1,1,1,1,0.23262135922330096,0.01949573044080314,0.0,0.0,0.13914136313651565,1,False,False,False,True,False,False,True,False,False
71,1,0.08196721311475408,1,0,1,0.28169014084507044,False,1,2,1,0,2,2,2,2,2,2,0,1,0.9413592233009708,0.26520886222017076,0.0,0.8,0.21361004510873227,0,False,False,True,True,False,False,True,False,False
72,1,0.5409836065573771,1,1,1,0.5070422535211268,False,0,1,1,2,2,2,0,0,0,0,2,0,0.38990291262135923,0.1650126932840988,0.0,0.0,0.0,0,False,True,False,True,False,False,True,False,False
73,0,0.8524590163934426,0,0,0,0.35211267605633806,False,1,0,1,2,0,0,0,2,0,0,2,1,0.7440776699029126,0.25096353565658897,0.0,0.0,0.2460894544312036,1,False,False,True,True,False,False,False,True,False
74,1,0.42622950819672134,0,0,0,0.6901408450704226,True,0,1,1,2,0,0,2,0,0,0,2,1,0.35262135922330096,0.19964228017539812,0.0,0.0,0.0,1,False,True,False,False,True,False,False,True,False
75,0,0.1639344262295082,0,0,0,0.08450704225352114,False,1,2,1,0,0,0,0,0,0,2,2,1,0.65126213592233,0.05682552504038773,0.2616991363727656,0.0,0.05620076752171279,0,False,False,True,True,False,False,True,False,False
76,0,0.7049180327868853,1,0,1,0.8450704225352113,True,1,2,1,2,2,2,2,2,2,2,2,0,0.7619417475728154,0.6355815831987076,0.0,0.0,0.8075220494176262,1,False,True,False,False,False,True,False,False,True
77,1,0.3770491803278688,0,0,0,0.19718309859154928,True,1,0,1,0,0,2,2,2,2,2,2,1,0.8648543689320387,0.17714631894761138,0.0,0.0,0.19322695751699995,0,False,False,True,True,False,False,True,False,False
78,0,0.5245901639344263,0,2,0,0.35211267605633806,False,0,1,1,2,0,0,2,0,2,2,2,0,0.43339805825242717,0.13018693745672744,0.0,0.0,0.0,1,False,True,False,True,False,False,False,True,False
79,1,0.3278688524590164,1,0,9,1.0,False,1,0,1,0,0,2,0,2,2,2,2,1,0.8128155339805825,0.7764308792984076,0.0,0.0,0.6709755604928298,1,False,False,True,True,False,False,True,False,False
80,1,0.7377049180327869,1,0,1,0.6056338028169015,False,1,0,0,1,1,1,1,1,1,1,1,1,0.23689320388349513,0.0976517424417263,0.0,0.0,0.33820328104311137,1,False,False,False,False,True,False,True,False,False
81,1,0.5901639344262295,0,0,0,0.9154929577464789,True,1,2,1,0,2,0,0,0,2,2,0,0,0.7720388349514563,0.6875259635356565,0.7234384414541073,0.26666666666666666,0.9031508786103819,1,False,False,True,True,False,False,False,True,False
82,0,0.34426229508196726,0,0,0,0.014084507042253521,False,1,0,1,2,2,0,2,0,0,0,2,1,0.7475728155339805,0.01879183014078006,0.0,0.0,0.020652393455867505,0,False,False,True,True,False,False,True,False,False
83,0,0.9344262295081968,0,0,0,0.6056338028169015,False,1,0,1,0,0,2,2,2,2,2,2,0,0.6590291262135921,0.3749423032540965,0.3597107852982526,0.0,0.09528939159316863,1,False,True,False,False,True,False,True,False,False
84,0,0.6229508196721312,0,0,0,0.15492957746478872,True,1,2,1,0,2,0,0,2,0,0,2,1,0.774757281553398,0.11927071313177938,0.0,0.0,0.04840772907830069,0,False,False,True,True,False,False,True,False,False
85,1,0.8524590163934426,1,0,1,0.9577464788732395,False,1,2,1,0,2,2,2,2,2,0,2,1,0.9316504854368931,0.878773367182091,0.0,0.0,0.35635056890863803,1,False,False,True,False,False,True,True,False,False
86,0,0.09836065573770492,0,0,0,0.0,True,1,2,1,0,2,0,0,0,0,0,2,1,0.7005825242718446,0.0070851603969536115,0.0,0.0,0.0003450481384232142,0,False,False,True,True,False,False,False,False,True
87,0,0.08196721311475408,0,0,0,0.02816901408450704,True,1,0,0,1,1,1,1,1,1,1,1,0,0.23184466019417477,0.0051869374567274406,0.0,0.0,0.021670706254628698,0,False,False,False,True,False,False,False,True,False
88,0,0.0,1,0,10,0.014084507042253521,False,1,0,1,2,2,0,0,2,0,0,2,0,0.7794174757281552,0.019813062543272558,0.0,0.0,0.0026089005588096686,1,False,False,True,True,False,False,True,False,False
89,0,0.9508196721311476,0,0,0,0.36619718309859156,False,1,2,1,0,2,2,0,0,0,0,2,1,0.749126213592233,0.27489614585737365,0.0,0.0,0.02249545546354272,1,False,False,True,False,False,True,True,False,False
90,1,0.6229508196721312,0,0,0,0.35211267605633806,True,1,0,0,1,1,1,1,1,1,1,1,1,0.23533980582524272,0.05682552504038773,0.0,0.0,0.09729796449651025,1,False,False,False,True,False,False,True,False,False
91,0,0.8852459016393442,1,0,9,0.5352112676056339,False,1,2,1,0,0,0,2,2,2,2,2,1,0.8640776699029126,0.45353681052388645,0.0,0.0,0.220452097219417,1,False,False,True,True,False,False,True,False,False
92,1,0.3606557377049181,0,0,0,0.33802816901408456,False,1,2,1,0,0,0,0,2,2,2,2,1,0.8132038834951456,0.27040156935148857,0.0,0.0,0.24461949325613236,0,False,False,True,True,False,False,True,False,False
93,0,0.39344262295081966,0,0,0,0.0,True,1,0,1,0,0,0,0,0,0,0,2,0,0.6283495145631068,0.006012000923147936,0.0,0.0,0.011167777553356226,0,False,False,True,True,False,False,False,False,True
94,1,0.47540983606557374,1,0,1,0.295774647887324,True,1,0,1,2,0,0,2,0,0,0,2,1,0.4986407766990292,0.13084468036002772,0.0,0.0,0.16811418568639333,0,False,True,False,True,False,False,True,False,False
95,0,0.6065573770491803,0,0,0,1.0,True,1,2,1,2,2,2,2,2,2,2,2,1,0.9700970873786408,0.9782944841910918,0.0,0.0,0.9769743486164412,1,False,False,True,False,False,True,True,False,False
96,0,0.5245901639344263,0,0,0,0.323943661971831,False,1,0,0,1,1,1,1,1,1,1,1,1,0.2295145631067961,0.052088622201707825,0.0,0.0,0.07163535985996096,1,False,False,False,False,False,True,True,False,False
97,0,0.24590163934426235,1,0,8,0.25352112676056343,False,1,2,1,0,0,0,0,2,0,0,2,1,0.7522330097087377,0.17835218093699517,0.0,0.0,0.041787293251643896,1,False,False,True,True,False,False,True,False,False
98,1,0.03278688524590162,1,2,2,0.9859154929577465,False,1,2,0,1,1,1,1,1,1,1,1,0,0.2745631067961165,0.2110258481421648,0.0,0.0,0.18324019838865327,1,False,False,False,False,False,True,False,True,False
99,1,0.9672131147540984,1,0,7,0.4507042253521127,False,1,2,1,2,0,2,2,2,2,0,2,1,0.9312621359223301,0.42417493653357946,0.0,0.0,0.23282333535312735,1,False,False,True,False,True,False,True,False,False
100,0,0.6721311475409837,0,0,0,0.02816901408450704,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23262135922330096,0.004523424878836834,0.0,0.0,0.002263852420386454,1,False,False,False,True,False,False,False,True,False
101,1,0.5737704918032788,1,1,7,0.647887323943662,False,1,2,1,0,2,0,0,2,0,0,2,0,0.7549514563106796,0.4614181860143088,0.0,0.0,0.014371395228797774,1,False,False,True,True,False,False,True,False,False
102,1,0.3770491803278688,1,3,2,0.8591549295774649,False,1,0,1,2,2,2,2,2,2,2,2,0,0.9176699029126213,0.7854661897069005,0.0,0.0,0.030611099890033442,1,False,False,True,False,False,True,False,True,False
103,1,0.04918032786885246,0,0,0,0.9859154929577465,False,1,2,1,2,2,2,2,2,2,2,2,1,0.9809708737864077,0.9566985921993999,0.0,0.0,0.0573621490607958,1,False,False,True,False,True,False,True,False,False
104,1,0.8524590163934426,1,0,8,0.08450704225352114,False,1,0,1,0,0,0,0,2,2,2,2,1,0.7689320388349514,0.06769559196861298,0.0,0.0,0.08241601023362286,1,False,False,True,False,False,True,True,False,False
105,0,0.6065573770491803,1,2,6,0.36619718309859156,True,1,0,1,2,0,0,0,0,0,0,2,0,0.6555339805825242,0.22542695591968614,0.0,0.0,0.35341345182791356,1,False,False,True,True,False,False,False,True,False
106,1,0.2295081967213115,0,0,0,0.014084507042253521,False,1,0,0,1,1,1,1,1,1,1,1,0,0.23339805825242718,0.0017193630279252253,0.0,0.0,0.0010155075293431183,1,False,False,False,True,False,False,False,True,False
107,0,0.21311475409836067,0,3,0,0.33802816901408456,True,0,1,1,2,0,0,2,0,0,0,2,0,0.3499029126213592,0.09527463651050082,0.0,0.0,0.0,1,True,False,False,False,False,True,True,False,False
108,1,1.0,0,0,0,0.4084507042253521,False,1,0,1,2,2,0,0,2,2,0,2,1,0.658252427184466,0.24146088160627743,0.0,0.0,0.3249343566956171,1,False,True,False,False,True,False,True,False,False
109,0,0.8852459016393442,1,0,1,0.8028169014084507,False,1,0,1,2,2,0,2,2,2,2,2,1,0.8970873786407766,0.713904915762751,0.0,0.0,0.27562333086469626,0,False,False,True,False,True,False,False,True,False
110,1,0.11475409836065575,1,0,1,0.1267605633802817,True,1,2,1,0,0,0,0,0,2,2,0,1,0.7398058252427184,0.09652665589660743,0.0,0.6666666666666667,0.005666644224511323,0,False,False,True,True,False,False,True,False,False
111,0,0.6557377049180328,0,0,0,0.11267605633802817,False,1,2,1,0,0,0,0,0,0,0,2,1,0.661747572815534,0.07097276713593355,0.0,0.0,0.023404362754998995,1,False,False,True,True,False,False,False,True,False
112,0,0.9672131147540984,1,0,1,0.07042253521126761,False,1,2,1,0,0,0,0,0,2,0,2,1,0.7328155339805824,0.052630971613201016,0.0,0.0,0.04832357099575844,0,False,False,True,True,False,False,True,False,False
113,0,0.459016393442623,1,1,7,0.9577464788732395,False,1,2,1,2,0,2,0,0,0,0,0,0,0.7335922330097087,0.6727209785368106,0.0,0.26666666666666666,0.7533494916851815,1,False,False,True,False,True,False,True,False,False
114,0,0.8032786885245903,0,0,0,0.9154929577464789,False,1,2,1,2,0,0,0,2,2,2,2,1,0.8730097087378641,0.744639972305562,0.0,0.0,0.1934794317646267,1,False,False,True,False,False,True,True,False,False
115,0,0.18032786885245905,0,0,0,0.971830985915493,True,1,2,1,2,2,2,2,2,2,2,2,0,0.975145631067961,0.9357027463651051,0.0,0.0,0.200492605309814,0,False,False,True,False,True,False,False,True,False
116,1,0.7049180327868853,0,0,0,0.33802816901408456,True,1,2,0,1,1,1,1,1,1,1,1,0,0.2741747572815534,0.07587699053773368,0.0,0.0,0.039063376646693154,0,False,False,False,False,True,False,True,False,False
117,0,0.5409836065573771,1,2,1,0.6338028169014085,True,1,0,0,1,1,1,1,1,1,1,1,1,0.22718446601941747,0.0975536579736903,0.0,0.0,0.31396014273210804,1,False,False,False,False,False,True,False,True,False
118,0,0.7213114754098361,1,0,7,0.7464788732394366,True,1,2,1,2,2,2,2,2,2,2,2,1,0.9681553398058252,0.6959035310408493,0.0,0.0,0.1726923853766916,1,False,False,True,False,True,False,False,True,False
119,0,0.5737704918032788,0,0,0,0.19718309859154928,False,1,0,1,2,0,2,2,2,2,2,2,0,0.8939805825242717,0.18046965151165476,0.0,0.0,0.09421497340604594,0,False,False,True,True,False,False,True,False,False
120,0,0.47540983606557374,1,1,0,0.15492957746478872,True,1,0,0,1,1,1,1,1,1,1,1,0,0.22834951456310676,0.02069005308100623,0.0,0.0,0.02777216723894163,1,False,False,False,True,False,False,True,False,False
121,0,0.5245901639344263,0,0,0,0.295774647887324,False,0,1,1,0,2,0,0,2,2,2,2,1,0.46873786407766993,0.12463074082621739,0.0,0.0,0.0,1,True,False,False,True,False,False,True,False,False
122,0,0.04918032786885246,1,0,9,0.971830985915493,False,0,1,1,0,2,2,2,2,2,2,2,0,0.5266019417475728,0.4639395338102931,0.020285197830889737,0.0,0.0,1,True,False,False,False,False,True,True,False,False
123,1,0.5409836065573771,0,0,0,0.4084507042253521,True,1,0,1,2,2,2,0,0,0,0,0,1,0.7324271844660193,0.2792291714747288,0.0,0.8666666666666667,0.20812293812697774,1,False,False,True,True,False,False,False,True,False
